name,size,year,absoluteLength,breitengrad,laengengrad
Blüemlisalpgletscher,45,1956,879,46488274,7771417
Blüemlisalpgletscher,45,1957,867,46488274,7771417
Blüemlisalpgletscher,45,1958,867,46488274,7771417
Blüemlisalpgletscher,45,1959,830,46488274,7771417
Blüemlisalpgletscher,45,1960,830,46488274,7771417
Blüemlisalpgletscher,45,1961,830,46488274,7771417
Blüemlisalpgletscher,45,1962,830,46488274,7771417
Blüemlisalpgletscher,45,1963,830,46488274,7771417
Blüemlisalpgletscher,45,1964,830,46488274,7771417
Blüemlisalpgletscher,45,1965,830,46488274,7771417
Blüemlisalpgletscher,45,1966,830,46488274,7771417
Blüemlisalpgletscher,45,1967,830,46488274,7771417
Blüemlisalpgletscher,45,1968,602,46488274,7771417
Blüemlisalpgletscher,45,1969,604,46488274,7771417
Blüemlisalpgletscher,45,1970,604,46488274,7771417
Blüemlisalpgletscher,45,1971,602,46488274,7771417
Blüemlisalpgletscher,45,1972,603,46488274,7771417
Blüemlisalpgletscher,45,1973,608,46488274,7771417
Blüemlisalpgletscher,45,1974,611,46488274,7771417
Blüemlisalpgletscher,45,1975,611,46488274,7771417
Blüemlisalpgletscher,45,1976,615,46488274,7771417
Blüemlisalpgletscher,45,1977,621,46488274,7771417
Blüemlisalpgletscher,45,1978,628,46488274,7771417
Blüemlisalpgletscher,45,1979,629,46488274,7771417
Blüemlisalpgletscher,45,1980,629,46488274,7771417
Blüemlisalpgletscher,45,1981,636,46488274,7771417
Blüemlisalpgletscher,45,1982,642,46488274,7771417
Blüemlisalpgletscher,45,1983,649,46488274,7771417
Blüemlisalpgletscher,45,1984,654,46488274,7771417
Blüemlisalpgletscher,45,1985,654,46488274,7771417
Blüemlisalpgletscher,45,1986,657,46488274,7771417
Blüemlisalpgletscher,45,1987,659,46488274,7771417
Blüemlisalpgletscher,45,1988,657,46488274,7771417
Blüemlisalpgletscher,45,1989,644,46488274,7771417
Blüemlisalpgletscher,45,1990,638,46488274,7771417
Blüemlisalpgletscher,45,1991,627,46488274,7771417
Blüemlisalpgletscher,45,1992,621,46488274,7771417
Blüemlisalpgletscher,45,1993,604,46488274,7771417
Blüemlisalpgletscher,45,1994,597,46488274,7771417
Blüemlisalpgletscher,45,1995,594,46488274,7771417
Blüemlisalpgletscher,45,1996,576,46488274,7771417
Blüemlisalpgletscher,45,1997,565,46488274,7771417
Blüemlisalpgletscher,45,1998,549,46488274,7771417
Blüemlisalpgletscher,45,1999,540,46488274,7771417
Blüemlisalpgletscher,45,2000,508,46488274,7771417
Blüemlisalpgletscher,45,2001,498,46488274,7771417
Blüemlisalpgletscher,45,2002,487,46488274,7771417
Blüemlisalpgletscher,45,2003,440,46488274,7771417
Blüemlisalpgletscher,45,2004,421,46488274,7771417
Blüemlisalpgletscher,45,2005,381,46488274,7771417
Blüemlisalpgletscher,45,2006,346,46488274,7771417
Blüemlisalpgletscher,45,2007,315,46488274,7771417
Blüemlisalpgletscher,45,2008,281,46488274,7771417
Blüemlisalpgletscher,45,2009,262,46488274,7771417
Blüemlisalpgletscher,45,2010,247,46488274,7771417
Blüemlisalpgletscher,45,2011,222,46488274,7771417
Blüemlisalpgletscher,45,2012,192,46488274,7771417
Blüemlisalpgletscher,45,2013,154,46488274,7771417
Blüemlisalpgletscher,45,2014,53,46488274,7771417
Blüemlisalpgletscher,45,2015,53,46488274,7771417
Blüemlisalpgletscher,45,2016,35,46488274,7771417
Blüemlisalpgletscher,45,2017,14,46488274,7771417
Blüemlisalpgletscher,45,2018,15,46488274,7771417
Blüemlisalpgletscher,45,2019,14,46488274,7771417
Blüemlisalpgletscher,45,2020,13,46488274,7771417
Blüemlisalpgletscher,45,2021,12,46488274,7771417
Blüemlisalpgletscher,45,2022,11,46488274,7771417
Blüemlisalpgletscher,45,2023,9,46488274,7771417
Blüemlisalpgletscher,45,2024,8,46488274,7771417
Blüemlisalpgletscher,45,2025,7,46488274,7771417
Blüemlisalpgletscher,45,2026,6,46488274,7771417
Blüemlisalpgletscher,45,2027,5,46488274,7771417
Blüemlisalpgletscher,45,2028,4,46488274,7771417
Blüemlisalpgletscher,45,2029,2,46488274,7771417
Blüemlisalpgletscher,45,2030,0,46488274,7771417
Blüemlisalpgletscher,45,2031,0,46488274,7771417
Blüemlisalpgletscher,45,2032,0,46488274,7771417
Blüemlisalpgletscher,45,2033,0,46488274,7771417
Blüemlisalpgletscher,45,2034,0,46488274,7771417
Blüemlisalpgletscher,45,2035,0,46488274,7771417
Blüemlisalpgletscher,45,2036,0,46488274,7771417
Blüemlisalpgletscher,45,2037,0,46488274,7771417
Blüemlisalpgletscher,45,2038,0,46488274,7771417
Blüemlisalpgletscher,45,2039,0,46488274,7771417
Blüemlisalpgletscher,45,2040,0,46488274,7771417
Blüemlisalpgletscher,45,2041,0,46488274,7771417
Blüemlisalpgletscher,45,2042,0,46488274,7771417
Blüemlisalpgletscher,45,2043,0,46488274,7771417
Blüemlisalpgletscher,45,2044,0,46488274,7771417
Blüemlisalpgletscher,45,2045,0,46488274,7771417
Blüemlisalpgletscher,45,2046,0,46488274,7771417
Blüemlisalpgletscher,45,2047,0,46488274,7771417
Blüemlisalpgletscher,45,2048,0,46488274,7771417
Blüemlisalpgletscher,45,2049,0,46488274,7771417
Blüemlisalpgletscher,45,2050,0,46488274,7771417
Blüemlisalpgletscher,45,2051,0,46488274,7771417
Blüemlisalpgletscher,45,2052,0,46488274,7771417
Blüemlisalpgletscher,45,2053,0,46488274,7771417
Blüemlisalpgletscher,45,2054,0,46488274,7771417
Blüemlisalpgletscher,45,2055,0,46488274,7771417
Blüemlisalpgletscher,45,2056,0,46488274,7771417
Blüemlisalpgletscher,45,2057,0,46488274,7771417
Blüemlisalpgletscher,45,2058,0,46488274,7771417
Blüemlisalpgletscher,45,2059,0,46488274,7771417
Blüemlisalpgletscher,45,2060,0,46488274,7771417
Blüemlisalpgletscher,45,2061,0,46488274,7771417
Blüemlisalpgletscher,45,2062,0,46488274,7771417
Blüemlisalpgletscher,45,2063,0,46488274,7771417
Blüemlisalpgletscher,45,2064,0,46488274,7771417
Blüemlisalpgletscher,45,2065,0,46488274,7771417
Blüemlisalpgletscher,45,2066,0,46488274,7771417
Blüemlisalpgletscher,45,2067,0,46488274,7771417
Blüemlisalpgletscher,45,2068,0,46488274,7771417
Blüemlisalpgletscher,45,2069,0,46488274,7771417
Blüemlisalpgletscher,45,2070,0,46488274,7771417
Blüemlisalpgletscher,45,2071,0,46488274,7771417
Blüemlisalpgletscher,45,2072,0,46488274,7771417
Blüemlisalpgletscher,45,2073,0,46488274,7771417
Blüemlisalpgletscher,45,2074,0,46488274,7771417
Blüemlisalpgletscher,45,2075,0,46488274,7771417
Blüemlisalpgletscher,45,2076,0,46488274,7771417
Blüemlisalpgletscher,45,2077,0,46488274,7771417
Blüemlisalpgletscher,45,2078,0,46488274,7771417
Blüemlisalpgletscher,45,2079,0,46488274,7771417
Blüemlisalpgletscher,45,2080,0,46488274,7771417
Blüemlisalpgletscher,45,2081,0,46488274,7771417
Blüemlisalpgletscher,45,2082,0,46488274,7771417
Blüemlisalpgletscher,45,2083,0,46488274,7771417
Blüemlisalpgletscher,45,2084,0,46488274,7771417
Blüemlisalpgletscher,45,2085,0,46488274,7771417
Blüemlisalpgletscher,45,2086,0,46488274,7771417
Blüemlisalpgletscher,45,2087,0,46488274,7771417
Blüemlisalpgletscher,45,2088,0,46488274,7771417
Blüemlisalpgletscher,45,2089,0,46488274,7771417
Blüemlisalpgletscher,45,2090,0,46488274,7771417
Brunnifirn,26,1900,4254,46734376,8789393
Brunnifirn,26,1901,4231,46734376,8789393
Brunnifirn,26,1902,4225,46734376,8789393
Brunnifirn,26,1903,4220,46734376,8789393
Brunnifirn,26,1904,4217,46734376,8789393
Brunnifirn,26,1905,4196,46734376,8789393
Brunnifirn,26,1906,4176,46734376,8789393
Brunnifirn,26,1907,4167,46734376,8789393
Brunnifirn,26,1908,4151,46734376,8789393
Brunnifirn,26,1909,4149,46734376,8789393
Brunnifirn,26,1910,4125,46734376,8789393
Brunnifirn,26,1911,4107,46734376,8789393
Brunnifirn,26,1912,4092,46734376,8789393
Brunnifirn,26,1913,4086,46734376,8789393
Brunnifirn,26,1914,4086,46734376,8789393
Brunnifirn,26,1915,4054,46734376,8789393
Brunnifirn,26,1916,4048,46734376,8789393
Brunnifirn,26,1917,4031,46734376,8789393
Brunnifirn,26,1918,4031,46734376,8789393
Brunnifirn,26,1919,4031,46734376,8789393
Brunnifirn,26,1920,4027,46734376,8789393
